Feature 1,Feature 2,Otolith type
-13.085452,-18.385874,Clupea harengus
49.398617,12.874924,Ammodytes marinus
-29.24661,-10.668501,Clupea harengus
-8.840662,22.230013,Sprattus sprattus
55.5986,12.815456,Ammodytes marinus
19.895216,5.080625,Ammodytes tobianus
-6.529928,20.443962,Sprattus sprattus
1.5459826,28.210012,Sprattus sprattus
-26.305641,-12.58825,Clupea harengus
-27.072235,-23.803638,Clupea harengus
-17.710184,-14.349779,Clupea harengus
-7.7282677,-16.1902,Clupea harengus
21.278454,7.5083394,Ammodytes tobianus
-27.394016,-15.261928,Clupea harengus
-7.8758364,33.847744,Sprattus sprattus
-25.477009,-8.972971,Clupea harengus
20.336327,0.18682876,Ammodytes tobianus
17.145157,7.9370484,Ammodytes tobianus
-6.983375,27.798838,Sprattus sprattus
24.74526,-6.3535256,Ammodytes tobianus
-9.445771,28.71744,Sprattus sprattus
23.061123,37.403534,Alosa fallax
-27.44611,-13.603853,Clupea harengus
47.640068,17.279552,Ammodytes marinus
38.98729,-26.420486,Hyperoplus lanceolatus
4.324945,-30.813246,Clupea harengus
32.837776,-12.210091,Ammodytes tobianus
-14.744793,21.34946,Sprattus sprattus
47.765335,19.174051,Ammodytes marinus
-4.7226973,-23.622084,Clupea harengus
22.663061,-5.4903517,Ammodytes tobianus
47.045166,19.593626,Ammodytes marinus
-7.194823,33.499447,Sprattus sprattus
22.044573,8.319305,Ammodytes tobianus
-11.140689,-6.1435966,Clupea harengus
-2.7614667,-24.326046,Clupea harengus
24.76612,35.287533,Alosa fallax
-8.359734,-23.016779,Clupea harengus
31.163738,-13.433105,Ammodytes tobianus
24.696693,-5.433856,Ammodytes tobianus
-28.96445,-5.0932336,Clupea harengus
4.738163,-35.288902,Clupea harengus
44.50648,18.58439,Ammodytes marinus
48.878487,21.241634,Ammodytes marinus
16.049362,4.681989,Ammodytes tobianus
-24.83751,-16.888527,Clupea harengus
24.222729,37.108562,Alosa fallax
32.62158,-12.906425,Ammodytes tobianus
-8.532706,-33.383316,Clupea harengus
-28.987988,-10.102855,Clupea harengus
26.17209,-5.0684566,Ammodytes tobianus
-23.314018,-12.662739,Clupea harengus
25.012148,-1.2461193,Ammodytes tobianus
-8.063929,-10.290209,Clupea harengus
-7.7742715,25.49184,Sprattus sprattus
5.8116674,31.986534,Sprattus sprattus
